Ref,Val,Package,PosX,PosY,Rot,Side
"R49","560","R_0603",104.387650,22.304375,90.000000,bottom
"R50","560","R_0603",123.281400,23.320000,90.000000,bottom
"R51","560","R_0603",142.487650,22.304375,90.000000,bottom
"R52","560","R_0603",161.441400,23.290000,90.000000,bottom
"R53","560","R_0603",180.587650,22.304375,90.000000,bottom
"R54","560","R_0603",199.637650,22.304375,90.000000,bottom
"R55","560","R_0603",218.687650,22.304375,90.000000,bottom
"R56","560","R_0603",254.406400,22.304375,90.000000,bottom
"R57","560","R_0603",275.837650,19.923125,0.000000,bottom
"R58","560","R_0603",6.756400,3.254375,90.000000,bottom
"R59","560","R_0603",30.568900,3.254375,90.000000,bottom
"R60","560","R_0603",54.381400,3.254375,90.000000,bottom
"R61","560","R_0603",117.678200,3.225800,90.000000,bottom
"R62","560","R_0603",121.056400,3.254375,90.000000,bottom
"R63","560","R_0603",159.156400,4.445000,90.000000,bottom
"R64","560","R_0603",206.781400,3.254375,90.000000,bottom
"R65","560","R_0603",230.593900,3.254375,90.000000,bottom
"R66","560","R_0603",234.165775,3.254375,90.000000,bottom
"R67","560","R_0603",253.136400,2.413000,270.000000,bottom
"R68","560","R_0603",267.741400,2.032000,90.000000,bottom
"RC1","470","R_0603_1608Metric",29.235400,43.180000,0.000000,bottom
"RC6","5.1k","R_0603",12.065000,87.426800,270.000000,bottom
"RC7","5.1k","R_0603",26.031400,91.070000,180.000000,bottom
"RC8","10k","R_0603",24.631400,43.720000,0.000000,bottom
"RC9","470","R_0603_1608Metric",30.568900,76.820000,180.000000,bottom
"RGB1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",36.601400,76.870000,180.000000,bottom
"RGB2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.051400,75.050000,180.000000,bottom
"RGB3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",93.971400,76.240000,180.000000,bottom
"RGB4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",129.501400,75.820000,180.000000,bottom
